Sno,era_name,songname,momentaryLoudness.mean,shortTermLoudness.mean,integratedLoudness,loudnessRange,pmfSpread,pmfSkewness,pmfKurtosis,pmfCentroid,LRImbalance,midSideRatio,crest100ms.mean,crest1sec.mean,panningCoeffs0.mean,panningCoeffs1.mean,panningCoeffs2.mean,panningCoeffs3.mean,spectralCentroid.mean,spectralEntropy.mean,spectralKurtosis.mean,spectralRollOff85.mean,spectralRollOff95.mean,spectralSkewness.mean,spectralSpread.mean,subBandFlux0.mean,subBandFlux1.mean,subBandFlux2.mean,subBandFlux3.mean,subBandFlux4.mean,subBandFlux5.mean,subBandFlux6.mean,subBandFlux7.mean,subBandFlux8.mean,subBandFlux9.mean
171,2000s,Again,-11.886795,-10.294751,-8.720653533935547,4.515063762664795,0.01659328117966652,0.0004083271778654307,1.3349199295043945,0.5000259876251221,-0.015902113648851513,12.328683062244677,4.001132011413574,5.167456150054932,-7.783228874206543,0.06983956694602966,-0.5449243187904358,0.032442089170217514,0.13028953969478607,8.564339637756348,3.358241081237793,1319.27197265625,2841.118896484375,1.6776313781738281,0.024331465363502502,0.1592078059911728,0.061100706458091736,0.15114519000053406,0.14247246086597443,0.12348777800798416,0.0982292890548706,0.07260420173406601,0.061118755489587784,0.042553968727588654,0.013732586987316608
172,2000s,Change (In the House of Flies),-18.622236,-17.469507,-16.164701461791992,8.203999519348145,0.0022920018527656794,-0.02184230647981167,0.7673735618591309,0.49998369812965393,-0.05369821305808278,5.12411048683805,4.295045852661133,5.5929460525512695,-6.816403388977051,0.08355850726366043,-0.5616560578346252,-0.008649333380162716,0.1051390990614891,8.32945728302002,9.63646125793457,1581.3231201171875,2650.158447265625,2.5133728981018066,0.0160429235547781,0.059004299342632294,0.03030555322766304,0.0464862659573555,0.04867025837302208,0.040304336696863174,0.04432458057999611,0.038793813437223434,0.03296421840786934,0.017647217959165573,0.004111980088055134
173,2000s,Hate To Say I Told You So,-10.586979,-10.339897,-9.92883014678955,6.061282157897949,0.009147105738520622,0.017972785979509354,0.24000000953674316,0.5000182390213013,-0.005734826038770641,3.044344358605713,3.997141122817993,4.973989486694336,-6.645104885101318,0.01201721653342247,-0.358961820602417,-0.03416592627763748,0.10637380927801132,8.445302963256836,7.546341419219971,1582.8480224609375,2796.30419921875,2.158318281173706,0.015379618853330612,0.10732582956552505,0.05041750892996788,0.09916263073682785,0.09919561445713043,0.09299963712692261,0.09016936272382736,0.08749591559171677,0.06829062104225159,0.03716251999139786,0.008387159556150436
174,2000s,Between Angels And Insects,-15.526033,-14.289336,-13.255602836608887,7.751906394958496,0.0046167271211743355,0.075450100004673,0.6501662731170654,0.49999144673347473,-0.055798662524813115,7.25844483733109,4.124809741973877,4.996520042419434,-7.3383469581604,-0.04106948897242546,-0.4604393541812897,-0.021102705970406532,0.12777310609817505,8.695704460144043,7.889020919799805,2605.603271484375,4162.65869140625,1.7255104780197144,0.01512273121625185,0.08781929314136505,0.03876693919301033,0.07537727802991867,0.07449065148830414,0.05722341313958168,0.04574668034911156,0.05104883015155792,0.04511158913373947,0.039692629128694534,0.009014293551445007
175,2000s,Absolutely (Story of a Girl) - Radio Mix,-8.163128,-7.555832,-7.19236946105957,4.75091552734375,0.017187463119626045,-0.01445530541241169,0.07738518714904785,0.5000091791152954,0.039768463518226015,3.6904808624890895,4.169735908508301,4.654177665710449,-6.461581707000732,0.06935539096593857,-0.3754693567752838,0.045695170760154724,0.16681544482707977,9.074614524841309,4.742325782775879,2614.465576171875,5228.25634765625,1.335849404335022,0.026180729269981384,0.15891008079051971,0.06556349992752075,0.13163919746875763,0.14724400639533997,0.12597374618053436,0.10292185842990875,0.09943520277738571,0.09335634112358093,0.0691094622015953,0.0242458526045084
176,2000s,Want You Bad,-9.028852,-8.5676985,-8.11224365234375,1.8564529418945312,0.015931086614727974,0.018767496570944786,0.18158721923828125,0.5000147819519043,-0.08688200557604955,6.318143064348819,4.016755104064941,4.624853134155273,-6.656278610229492,0.20134027302265167,-0.4842413365840912,0.017920298501849174,0.13933278620243073,8.909146308898926,1.9471487998962402,1852.0079345703125,3660.58154296875,1.4723005294799805,0.022311486303806305,0.16695982217788696,0.07522877305746078,0.13787604868412018,0.13971136510372162,0.12246974557638168,0.10241404920816422,0.1074262484908104,0.0849093571305275,0.058368220925331116,0.0164352897554636
177,2000s,Crawling,-14.279189,-12.995415,-9.647546768188477,10.240094184875488,0.008880137465894222,0.034121789038181305,0.8528268337249756,0.4999173581600189,-0.040085661139132964,5.132672463978443,3.9049179553985596,5.3093976974487305,-6.706337928771973,0.05892729386687279,-0.5453081130981445,0.022671209648251534,0.11500324308872223,8.514507293701172,4.421699047088623,1696.8970947265625,2825.398193359375,1.9653207063674927,0.01710120216012001,0.09367533028125763,0.03490985557436943,0.06961255520582199,0.07460633665323257,0.08773738890886307,0.07905233651399612,0.09143128246068954,0.06995479017496109,0.038397543132305145,0.008127113804221153
178,2000s,Don't Panic,-27.81838,-26.844198,-12.528911590576172,9.60903549194336,0.005072253290563822,0.09157337248325348,1.268608570098877,0.4998251497745514,0.07016150268713177,4.479767391190142,3.909672975540161,4.935142517089844,-6.845893859863281,-0.043995097279548645,-0.39407190680503845,0.020724624395370483,0.1302696317434311,8.26757526397705,8.198249816894531,940.1409301757812,3349.47412109375,2.114373207092285,0.02263135276734829,0.09101641923189163,0.03933178260922432,0.07517794519662857,0.0630107894539833,0.058520399034023285,0.05264018476009369,0.03835437819361687,0.0272294320166111,0.014504518359899521,0.003629497718065977
179,2000s,Rollin' (Air Raid Vehicle),-9.517265,-8.882233,-7.46824836730957,9.53431510925293,0.020071079954504967,-0.0034521648194640875,0.8409523963928223,0.4999445676803589,0.0002282055178823701,5.948764358633466,3.908234119415283,4.889228343963623,-6.783872604370117,0.05058221518993378,-0.47885194420814514,0.014124792069196701,0.11978453397750854,8.65330696105957,4.3002753257751465,1371.5712890625,2851.684814453125,1.8432798385620117,0.01936226896941662,0.21074271202087402,0.08234686404466629,0.15245045721530914,0.13965371251106262,0.11041300743818283,0.10175947099924088,0.09430652111768723,0.0738433450460434,0.0482964888215065,0.012787380255758762
180,2000s,Yello,-13.900414,-10.0886345,-8.650256156921387,5.301398754119873,0.014298261143267155,-0.02280428260564804,0.42989683151245117,0.5000057220458984,0.010034105604255694,7.037848984070988,3.7558608055114746,5.018229961395264,-8.35285472869873,-0.03368529677391052,-0.47586581110954285,0.014543709345161915,0.11858973652124405,8.322524070739746,4.622832775115967,1679.6015625,2754.4794921875,1.9619578123092651,0.019652513787150383,0.1355268955230713,0.07292616367340088,0.11899971216917038,0.13663503527641296,0.11417626589536667,0.10130257904529572,0.093467578291893,0.07243064790964127,0.04185952991247177,0.00971872266381979
